"發病年月日","確定病例數"
"20230216",15395
"20230217",14978
"20230218",15899
"20230219",12149
"20230220",17177
"20230221",16486
"20230222",14356
"20230223",13420
"20230224",13521
"20230225",13031
"20230226",7773
"20230227",10130
"20230228",12218
"20230301",14058
"20230302",13783
"20230303",11359
"20230304",10315
"20230305",7155
"20230306",10978
"20230307",11023
"20230308",9552
"20230309",9111
"20230310",8610
"20230311",9102
"20230312",6631
"20230313",9924
"20230314",10177
"20230315",9052
"20230316",8410
"20230317",8011
"20230318",8397
"20230319",5570
"20230320",2506
"20230321",252
"20230322",53
"20230323",23
"20230324",14
"20230325",4
"20230326",0
"20230327",0
"20230328",0
"20230329",0
"20230330",0
"20230331",0
"20230401",0
"20230402",0
"20230403",0
"20230404",0
"20230405",0
"20230406",1
"20230407",0
"20230408",0
"20230409",0
"20230410",0
"20230411",0
"20230412",0
"20230413",0
"20230414",1
"20230415",0
"20230416",0
"20230417",0
"20230418",0
"20230419",2
"20230420",0
"20230421",0
"20230422",0
